CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
1410164C, iMAX,2 MB,SEJ,LAZARO CARDENAS DEL RIO,MATUTINO,PRIMARIA,CENTRO,IXTLAHUACAN DEL RIO,AGUA RICA,CONOCIDO AGUA RICA,45260,-103.1878889,20.8366111,SIN SERVICIO
1410184G, iMAX,2 MB,SEJ,FERNANDO MONTES DE OCA,MATUTINO,PRIMARIA,CENTRO,CUQUIO,CARRICILLO,CONOCIDO,45480,-102.9476417,21.0030472,SIN SERVICIO
1410187H, iMAX,2 MB,SEJ,BENITO JUAREZ,VESPERTINO,PRIMARIA,CENTRO,CUQUIO,LA TORTUGA,CONOCIDO,45480,-102.9929222,21.0547139,SIN SERVICIO
1410188A, iMAX,2 MB,SEJ,EMILIANO ZAPATA,VESPERTINO,PRIMARIA,CENTRO,CUQUIO,EL TERRERO,CONOCIDO,45480,-102.9668083,20.9586056,SIN SERVICIO
1410195B, iMAX,2 MB,SEJ,ARTURO U—EZ ABUNDEZ,VESPERTINO,PRIMARIA,CENTRO,IXTLAHUACAN DEL RIO,TESCATITAN,TRINIDAD ESCATITLAC,45260,-103.2317778,20.8877778,SIN SERVICIO
1410202F, iMAX,2 MB,SEJ,VALLARTA,MATUTINO,PRIMARIA,CENTRO,CUQUIO,LOS CAPULINES,CONOCIDO,45486,-102.9154194,21.0061028,SIN SERVICIO
1410213A, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,SECUNDARIA,CENTRO,IXTLAHUACAN DEL RIO,MASCUALA,CONOCIDO ,45280,-103.4738889,21.285,SIN SERVICIO
1410215X, iMAX,2 MB,SEJ,ISIDRO CASTILLO PEREZ,MATUTINO,SECUNDARIA,CENTRO,IXTLAHUACAN DEL RIO,SAN JOSE DE BUENAVISTA,SAN JOSE DE BUENAVISTA,45299,-103.1130833,20.8630278,SIN SERVICIO
1410216B, iMAX,2 MB,SEJ,FRANCISCO VILLA,MATUTINO,SECUNDARIA,CENTRO,IXTLAHUACAN DEL RIO,SAN MIGUEL DE ABAJO,SAN MIGUEL DE ABAJO,45260,-103.2714444,20.8216944,SIN SERVICIO
1410219C, iMAX,2 MB,SEJ,EMILIANO ZAPATA,MATUTINO,SECUNDARIA,CENTRO,CUQUIO,LOS ZAPOTES,N/D,45480,-102.9279194,20.9769389,SIN SERVICIO
